,album_date,artist_id,artist_name,mp3,track_id,track_length,track_name,track_pop,acousticness,danceability,duration_ms,energy,track_id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,2015-04-03,5nPOO9iTcrs9k6yFffPxjH,Röyksopp,https://p.scdn.co/mp3-preview/61ecda549bdc27875042af40419507fad9e83626?cid=142c36ced4ff4aa68d784c0db9923467,6j3HojCSc3I4gK8vb0sN7S,396774,I Had This Thing - Joris Voorn Remix,10,0.00123,0.815,396774,0.368,6j3HojCSc3I4gK8vb0sN7S,0.432,7,0.0868,-10.659,0,0.0499,124.0,4,0.442
1,2009-11-02,6Th7POyVfZgiHJQ64ddV5Y,Rodriguez Jr.,https://p.scdn.co/mp3-preview/c56c274b201a238db2bb93815d6ddfb151d173e0?cid=142c36ced4ff4aa68d784c0db9923467,3Pl9W7zSfrcoNXjTBFG5cv,428394,Lila,11,0.000817,0.806,428395,0.766,3Pl9W7zSfrcoNXjTBFG5cv,0.91,5,0.0839,-8.317,0,0.0399,127.012,4,0.405
2,2009-04-06,2yPveJtn9DpeN0CgNJHvAQ,Stimming,https://p.scdn.co/mp3-preview/526a33289741f95b0374d9a75ac7623cded5e7bc?cid=142c36ced4ff4aa68d784c0db9923467,01gqP6pHjuegINMFW0NzOM,434749,SONG FOR ISABELLE,29,0.127,0.95,434749,0.375,01gqP6pHjuegINMFW0NzOM,0.877,8,0.0838,-11.221,1,0.244,124.01,4,0.635
3,2011-03-21,3HRRzIZNQFus3xlUx2xKy1,Joris Delacroix,https://p.scdn.co/mp3-preview/2c83f32e50bc23ace9c2452b43d3ffea0a0b63f9?cid=142c36ced4ff4aa68d784c0db9923467,5sXPMrhz0tgJUgymCXwAvz,371612,Air France,32,0.0214,0.788,371613,0.761,5sXPMrhz0tgJUgymCXwAvz,0.877,7,0.109,-8.454,1,0.0792,123.977,4,0.219
4,2009-01-01,11chB4Th19iMA7j65oGMk1,Funkin Matt,https://p.scdn.co/mp3-preview/fd2058e471b3f3073d3325c2a584878c06e4b0de?cid=142c36ced4ff4aa68d784c0db9923467,5ROUZM9gxbj9RBqBqc9GJh,347000,Doubles,8,0.000488,0.806,347000,0.729,5ROUZM9gxbj9RBqBqc9GJh,0.88,1,0.0896,-7.962,1,0.0631,128.023,4,0.397
5,2010-10-29,1T6vbaRgf4pRhvPbdxadat,Joe Maker,https://p.scdn.co/mp3-preview/a8f68aa5351ae8fba1e066131b8c6e3ba1932b18?cid=142c36ced4ff4aa68d784c0db9923467,01BjerL6OVbVMpWg5fJ0Gs,442122,Minimal Female - Original Mix,11,0.000841,0.803,442122,0.904,01BjerL6OVbVMpWg5fJ0Gs,0.867,1,0.169,-2.352,1,0.0513,128.01,4,0.389
6,2011-01-21,7kABWMhjA5GIl9PBEasBPt,Sunnery James & Ryan Marciano,https://p.scdn.co/mp3-preview/77c7d0fb02399907fbcbf589d9ca335bf946db2a?cid=142c36ced4ff4aa68d784c0db9923467,5nbzxeAbhXIVYe0zjqRkCw,415680,Pondo (feat. Sunnery James),13,0.00112,0.787,415680,0.885,5nbzxeAbhXIVYe0zjqRkCw,0.885,5,0.0595,-10.311,0,0.062,129.43,4,0.0362
7,2011-12-04,7oqJesfsNfHYYN6bEKR6UP,JDG,https://p.scdn.co/mp3-preview/7bf2391b6703b1df4c96636323553babb5a927e2?cid=142c36ced4ff4aa68d784c0db9923467,0Ib92nEhK8FILpiVwhJTzc,375000,Psyched - Original Mix,12,0.00839,0.977,375000,0.357,0Ib92nEhK8FILpiVwhJTzc,0.0147,1,0.0559,-8.009,1,0.315,128.009,4,0.615
8,2011-03-13,2OpUrUeIF1sqWHwSbMPNkB,Spartaque,https://p.scdn.co/mp3-preview/f6cbb23b2bba5aa16589ace0736d5e6714ecd818?cid=142c36ced4ff4aa68d784c0db9923467,4Kon0y2OLyPtJR4OcLjKdn,453750,Raise Me - Original Mix,16,0.0137,0.71,453750,0.916,4Kon0y2OLyPtJR4OcLjKdn,0.534,4,0.347,-7.655,0,0.0685,128.042,4,0.0413
9,2007-05-04,2nq2BeSbzExGAv3Y4HgUf7,Stephan Bodzin,https://p.scdn.co/mp3-preview/53eb7e21a46c521e26fc037615643483bafb7c28?cid=142c36ced4ff4aa68d784c0db9923467,4LIJCNEu4eN4pz1vFB8TLt,334487,Roter Zwerg,18,0.128,0.794,334487,0.443,4LIJCNEu4eN4pz1vFB8TLt,0.837,2,0.0849,-9.546,0,0.0494,127.026,4,0.676
