,album_date,artist_id,artist_name,mp3,track_id,track_length,track_name,track_pop,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,2019-03-15,1OmOdgwIzub8DYPxQYbbbi,Will Clarke,https://p.scdn.co/mp3-preview/3a7475ac84150efed5c17a4d795a80deb556e6b2?cid=142c36ced4ff4aa68d784c0db9923467,10M4LamTX45jc2429kOs02,213583,Feeling Good,32,0.000493,0.797,213583,0.704,0.223,2,0.733,-7.682,1,0.0478,126.016,4,0.297
1,2019-03-15,1OmOdgwIzub8DYPxQYbbbi,Will Clarke,https://p.scdn.co/mp3-preview/9bd28eddc51cd45d8fe3b3b7d0a3d10037a0cc89?cid=142c36ced4ff4aa68d784c0db9923467,3shtpAnn50zMGC15TkyMQP,384761,Feeling Good - Tiger Stripes Remix,20,0.000355,0.795,384762,0.949,0.836,6,0.191,-6.29,0,0.0412,126.017,4,0.467
2,2019-03-01,6bxLLapj6NByiP5cr6jMeK,Matthias Tanzmann,https://p.scdn.co/mp3-preview/c1ec0c88d84775ff3f738b588301231c67405c62?cid=142c36ced4ff4aa68d784c0db9923467,6o9wbBMpSu1y2OPtUPQCZY,407893,The Treat,35,0.000202,0.807,407893,0.97,0.936,1,0.0779,-8.694,1,0.0638,123.008,4,0.771
3,2019-03-01,6bxLLapj6NByiP5cr6jMeK,Matthias Tanzmann,https://p.scdn.co/mp3-preview/9d1440b4c1029d1f7ab90d8f83cda272ac5cda33?cid=142c36ced4ff4aa68d784c0db9923467,2NEYd0OpUirKyEMpJABcvE,386194,Filthy,35,0.000196,0.807,386194,0.866,0.827,7,0.0736,-7.936,1,0.107,124.972,4,0.192
4,2019-02-15,50b6p8UF5dHfvjaN3GduG3,Marc Houle,https://p.scdn.co/mp3-preview/9421e8c0931b5218adf2955dbed197f92042735c?cid=142c36ced4ff4aa68d784c0db9923467,6fXqexaPaNoLfAdIgTT0lg,342865,Min And Soda,48,7.49e-05,0.761,342866,0.592,0.892,1,0.119,-8.326,1,0.0439,131.025,4,0.127
5,2019-02-15,50b6p8UF5dHfvjaN3GduG3,Marc Houle,https://p.scdn.co/mp3-preview/37d5ee596126ab3bdca3d2a58ff9a74e8ef5ace6?cid=142c36ced4ff4aa68d784c0db9923467,00wAL3PbcimmsqxpkLw5K1,414911,Car And Driver,21,0.000238,0.538,414912,0.923,0.915,1,0.111,-7.851,0,0.0525,126.975,4,0.0313
6,2019-02-08,5LGa1U6Mwiib6ocVuJItcG,Gettoblaster,https://p.scdn.co/mp3-preview/262431138babf4857d195cb1f0e49c4874412093?cid=142c36ced4ff4aa68d784c0db9923467,40wBXZJqCRqB2AmdVh6eOY,333544,Get Dat,26,4.84e-05,0.807,333544,0.917,0.938,1,0.0968,-7.148,0,0.0587,126.995,4,0.333
7,2019-01-25,113reBz1jA6rVxbXl55mlj,Rebūke,https://p.scdn.co/mp3-preview/f612a118592931c1e916d1e2f8b942b71d75f5fd?cid=142c36ced4ff4aa68d784c0db9923467,25jHZWxC5NFkaqT5Hb5uKS,381431,Jump Ship,38,0.0362,0.801,381432,0.859,0.951,7,0.0861,-8.901,1,0.0565,124.983,4,0.243
8,2019-01-25,113reBz1jA6rVxbXl55mlj,Rebūke,https://p.scdn.co/mp3-preview/5f8bcc2ebb58c468c432ceff96cd64abe6b16d5d?cid=142c36ced4ff4aa68d784c0db9923467,6A0Is2OjgK22ANYiuvFL0G,339317,The Pipe,53,0.0526,0.847,339317,0.75,0.924,7,0.0886,-7.811,1,0.074,125.992,4,0.375
9,2019-01-11,1OmOdgwIzub8DYPxQYbbbi,Will Clarke,https://p.scdn.co/mp3-preview/0da7fe053fdd371c46b25edd204267b2cb9b599b?cid=142c36ced4ff4aa68d784c0db9923467,1JtCW5UbBtbmXlnMhJHqWo,227160,Like A Girl,40,0.0048,0.776,227161,0.631,0.304,11,0.0938,-7.429,0,0.0432,124.994,4,0.0475
