,album_date,artist_id,artist_name,mp3,track_id,track_length,track_name,track_pop,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,2018-05-21,05MbTMqG3Dhp4wd2fyR8D6,Alias,https://p.scdn.co/mp3-preview/6598b12a751de2f4cbb03278c8400654cb74a1f0?cid=142c36ced4ff4aa68d784c0db9923467,6eJli89ESBIaZ903CQWdDr,390006,NRG,32,0.000109,0.713,390006,0.961,0.931,6,0.345,-6.791,1,0.0388,128.003,4,0.0465
1,2018-05-21,05MbTMqG3Dhp4wd2fyR8D6,Alias,https://p.scdn.co/mp3-preview/9455512ab539c5660f638307477bd4aed5c32a57?cid=142c36ced4ff4aa68d784c0db9923467,09oGaK1ccbGIrblBckZX1R,334189,Orange Sunshine,28,0.0011,0.614,334190,0.874,0.915,6,0.403,-7.772,1,0.0901,128.993,4,0.255
2,2018-05-21,05MbTMqG3Dhp4wd2fyR8D6,Alias,https://p.scdn.co/mp3-preview/af27b02c56063050d7c49f497ace322150ea1f0c?cid=142c36ced4ff4aa68d784c0db9923467,0awZbFBY3YxjzABQbB1h9X,372116,The Event,26,0.00444,0.642,372116,0.818,0.875,1,0.133,-9.066,1,0.041,128.007,4,0.154
3,2018-05-07,34VllgUG0XUn6gwIZcuGtk,Hyperloop,https://p.scdn.co/mp3-preview/98adc8ad764398bb1a6aeafe730568ea243f989b?cid=142c36ced4ff4aa68d784c0db9923467,2NLrBTzLTNFuH5jyDxQq2L,448320,In Your Mind (Reflections),32,0.00375,0.791,448320,0.86,0.871,7,0.104,-7.554,1,0.155,125.0,4,0.15
4,2018-05-07,34VllgUG0XUn6gwIZcuGtk,Hyperloop,https://p.scdn.co/mp3-preview/8a6599e2de5fb80fffc5f595d45e1ab79e9ce7dc?cid=142c36ced4ff4aa68d784c0db9923467,5qiKSttCsPxZOLDz1OiICU,450706,S-Sound,30,0.00013,0.753,450706,0.922,0.899,2,0.092,-6.642,1,0.0761,128.018,4,0.286
5,2018-05-07,34VllgUG0XUn6gwIZcuGtk,Hyperloop,https://p.scdn.co/mp3-preview/458d55d998d73989879316c0e1058ec281dee8bd?cid=142c36ced4ff4aa68d784c0db9923467,0nV42oCyjnr0x2nvirFgze,440552,Spring on the Battlefield,24,0.0503,0.773,440552,0.886,0.927,7,0.123,-10.331,1,0.109,126.997,4,0.191
6,2018-04-16,58zZkWGb6qvx0AJ6L3ttlZ,Mark Reeve,https://p.scdn.co/mp3-preview/0458c85f64079cfdf042cf80f7f74a6e4de9ca0f?cid=142c36ced4ff4aa68d784c0db9923467,1koqt9X58sIMkXlGCNOOJe,385200,Far Away,46,0.00879,0.802,385200,0.644,0.902,11,0.109,-8.582,0,0.0519,128.002,4,0.0336
7,2018-04-16,58zZkWGb6qvx0AJ6L3ttlZ,Mark Reeve,https://p.scdn.co/mp3-preview/8096d77e7692ce62ad484b2c9fb69dd1ee299be9?cid=142c36ced4ff4aa68d784c0db9923467,17q9zwdKi59r1gpqMTAlbF,441703,Fragile,30,0.00179,0.804,441703,0.972,0.91,0,0.103,-7.631,0,0.0998,126.997,4,0.179
8,2018-04-16,58zZkWGb6qvx0AJ6L3ttlZ,Mark Reeve,https://p.scdn.co/mp3-preview/fb02f9f5e545e968ce540556d00fec02bf8ed491?cid=142c36ced4ff4aa68d784c0db9923467,7jXO4N64tjVTFYcpJMBep7,427489,Redemption,28,0.00895,0.76,427490,0.924,0.923,5,0.0925,-8.679,0,0.0566,128.001,3,0.202
9,2018-03-26,1OU8mX7tZjCf4u3Ege0JX3,Boxia,https://p.scdn.co/mp3-preview/177facdb79663b97d964fcb52e1384d6643c03c6?cid=142c36ced4ff4aa68d784c0db9923467,4cvDSJn7DqGhmZbqLUBQrW,437814,No World Order,26,0.000161,0.729,437814,0.973,0.91,11,0.115,-7.567,1,0.0462,128.004,4,0.0802
10,2018-03-26,1OU8mX7tZjCf4u3Ege0JX3,Boxia,https://p.scdn.co/mp3-preview/797899f6776dfcd0810731732747f6b54bb2c1b2?cid=142c36ced4ff4aa68d784c0db9923467,7rPqJzuu8r2hmQkNoFea4t,453047,Only Human,27,0.00244,0.721,453048,0.851,0.863,7,0.0863,-7.336,1,0.0473,129.003,4,0.121
11,2018-03-26,1OU8mX7tZjCf4u3Ege0JX3,Boxia,https://p.scdn.co/mp3-preview/6d9c53726c49935cd30254d745b1bb34e2034f75?cid=142c36ced4ff4aa68d784c0db9923467,1c4ODedKOyiBFa2paex2bt,433124,Unreal,22,0.0405,0.665,433124,0.88,0.92,9,0.112,-6.996,0,0.0714,127.996,4,0.0332
12,2018-03-26,1OU8mX7tZjCf4u3Ege0JX3,Boxia,https://p.scdn.co/mp3-preview/3bef11212e081757210d49cecf78e98301709a22?cid=142c36ced4ff4aa68d784c0db9923467,70qNLl18dDnSr95b9dfjic,449651,Ethereal Education,30,0.0338,0.784,449652,0.763,0.882,0,0.0944,-8.637,1,0.0491,130.005,4,0.496
13,2018-03-05,2UzAShzs3DO53bSZqvf8Ri,Wehbba,https://p.scdn.co/mp3-preview/3eef4509bd9a9c026684348f3c8cd64623e521f2?cid=142c36ced4ff4aa68d784c0db9923467,5VPCL3HiwOLjoFK0wKiEnf,428479,Eclipse,45,0.0843,0.705,428480,0.726,0.861,11,0.0596,-7.288,0,0.0686,127.0,4,0.251
14,2018-03-05,2UzAShzs3DO53bSZqvf8Ri,Wehbba,https://p.scdn.co/mp3-preview/55ff467262d795b5727cd73d1707185f58ed58ab?cid=142c36ced4ff4aa68d784c0db9923467,7xhef4EHZX5uIGk8SeyFkC,379257,Protocol,38,0.00639,0.799,379257,0.873,0.883,4,0.0811,-8.538,1,0.0678,128.001,4,0.0397
15,2018-03-05,2UzAShzs3DO53bSZqvf8Ri,Wehbba,https://p.scdn.co/mp3-preview/b3bc8e7399e827eab44404165ae91db66f12883b?cid=142c36ced4ff4aa68d784c0db9923467,0pmFf4FuyWbp91xc7vHe96,382904,Glasswerk,33,0.0129,0.676,382904,0.833,0.869,9,0.134,-8.211,1,0.0734,126.006,4,0.0705
16,2018-03-05,2UzAShzs3DO53bSZqvf8Ri,Wehbba,https://p.scdn.co/mp3-preview/2425ec35e8d3c09932b549f576bf0bf9d58c1178?cid=142c36ced4ff4aa68d784c0db9923467,6rjMMP4V0BzFlauW5pa1gd,416250,Framework,26,0.00861,0.728,416250,0.888,0.906,7,0.0413,-6.875,1,0.0408,128.006,4,0.277
17,2018-02-12,6iWBjg4b4ll4jLiParnWXT,Bart Skils,https://p.scdn.co/mp3-preview/dec9716884e2fc83164163ec28d9eadd05acf2bf?cid=142c36ced4ff4aa68d784c0db9923467,1IvFfsCak52nS53DemQHMw,413558,Bells of the Revolution,36,0.0136,0.79,413558,0.891,0.921,6,0.114,-6.464,0,0.0566,125.998,3,0.124
18,2018-02-12,6iWBjg4b4ll4jLiParnWXT,Bart Skils,https://p.scdn.co/mp3-preview/b2d063813213c1d08ac13806d54acbf602c30024?cid=142c36ced4ff4aa68d784c0db9923467,6AOQ3TmdBRQQUsmwzYu3zP,429047,Ocean Drive,30,0.000942,0.806,429048,0.933,0.951,8,0.0927,-6.751,0,0.061,126.02,4,0.0879
19,2018-02-12,6iWBjg4b4ll4jLiParnWXT,Bart Skils,https://p.scdn.co/mp3-preview/de2c5a5bdff8e6d075655895e4cfcf54c465b7f5?cid=142c36ced4ff4aa68d784c0db9923467,0rQ9GklVvbkrMYILcsNKiz,458639,Vocalized,23,0.000173,0.803,458640,0.945,0.92,9,0.119,-5.352,1,0.0511,125.993,4,0.0372
20,2018-02-12,6iWBjg4b4ll4jLiParnWXT,Bart Skils,https://p.scdn.co/mp3-preview/c8c0a43fe1e40eb84adae8c8fdddb9a136ee2332?cid=142c36ced4ff4aa68d784c0db9923467,0O5jNneWLCxsDfaJqVTj5v,452034,Retrodade,28,0.000626,0.746,452035,0.925,0.702,4,0.132,-6.144,0,0.0566,126.012,4,0.349
21,2018-01-01,4dCGOzY3HL7dZnQ8XU7DDD,Ilario Alicante,https://p.scdn.co/mp3-preview/3d1f757a9d0366b186c4ac064938d66fb38a4802?cid=142c36ced4ff4aa68d784c0db9923467,3ETCyE9LbD4gDXRX6LlnFe,427380,Figure of Ra,31,0.000137,0.706,427380,0.891,0.94,8,0.0656,-9.649,0,0.046,127.99,4,0.108
22,2018-01-01,4dCGOzY3HL7dZnQ8XU7DDD,Ilario Alicante,https://p.scdn.co/mp3-preview/b8c43f3a9e9b1aa3ee80073dc795be6783799bfb?cid=142c36ced4ff4aa68d784c0db9923467,1UVCFWuwDZDvleffhLHET2,398309,The Acid Runner,35,0.00401,0.687,398310,0.741,0.928,1,0.108,-9.987,0,0.0881,126.993,4,0.0741
23,2018-01-01,4dCGOzY3HL7dZnQ8XU7DDD,Ilario Alicante,https://p.scdn.co/mp3-preview/0d9a3f37c37d0d7d2ad12d969f46a77867322e23?cid=142c36ced4ff4aa68d784c0db9923467,0n2KGS8QGWvqBCT708kakZ,441524,Virgo's Echoes,26,0.124,0.748,441524,0.717,0.947,7,0.111,-9.268,1,0.0474,126.996,4,0.0992
24,2018-01-01,4dCGOzY3HL7dZnQ8XU7DDD,Ilario Alicante,https://p.scdn.co/mp3-preview/66bb87e4a3a922a82f135aad6d0362408a52cd69?cid=142c36ced4ff4aa68d784c0db9923467,3AfK9TjO6NaeOCJtN7RpFq,401250,Third Eye,28,0.037,0.782,401250,0.859,0.909,0,0.108,-8.953,1,0.0603,128.007,4,0.225
25,2018-01-01,4dCGOzY3HL7dZnQ8XU7DDD,Ilario Alicante,https://p.scdn.co/mp3-preview/39356be4b5f04a6f14a907ee0b75beb7ba533d50?cid=142c36ced4ff4aa68d784c0db9923467,6HWiHxaJTLdF3Q9YDPqHQd,429227,Atonal,24,0.00187,0.729,429228,0.894,0.904,6,0.133,-9.839,0,0.0796,129.019,4,0.372
26,2018-01-01,4dCGOzY3HL7dZnQ8XU7DDD,Ilario Alicante,https://p.scdn.co/mp3-preview/f2569da8eca65c873aac4372a8467a931a2d3e70?cid=142c36ced4ff4aa68d784c0db9923467,5McQMW17PPSKyVRL6kaF6E,436905,Leave Me,30,0.0016,0.771,436905,0.938,0.937,11,0.0966,-10.108,0,0.0523,126.988,4,0.0389
27,2017-12-04,6qB9lDPQ6tFbI1gZcSawCS,Harvey McKay,https://p.scdn.co/mp3-preview/29bae88030b8fa4f4857d458eb8d36c1db6d25d4?cid=142c36ced4ff4aa68d784c0db9923467,0uysFtYtEjavuunShowxaI,334972,Black Dolphin,33,0.00227,0.926,334973,0.892,0.646,10,0.114,-6.832,1,0.126,126.002,4,0.26
28,2017-12-04,6qB9lDPQ6tFbI1gZcSawCS,Harvey McKay,https://p.scdn.co/mp3-preview/58852958339f22962709c64d7c1d613164edb620?cid=142c36ced4ff4aa68d784c0db9923467,6Rxq9EBewnyoBZGdKJEdzB,368674,Retox,20,0.000125,0.802,368674,0.873,0.958,1,0.111,-9.315,1,0.0631,128.007,4,0.0291
29,2017-12-04,6qB9lDPQ6tFbI1gZcSawCS,Harvey McKay,https://p.scdn.co/mp3-preview/6c9def8593f58cb375de1743597c16e58cc7648a?cid=142c36ced4ff4aa68d784c0db9923467,1pF156KRRK8o5YkKZyksjX,358440,Cover Up,25,0.000452,0.888,358441,0.61,0.929,1,0.107,-8.988,0,0.0445,125.987,4,0.0491
30,2017-11-13,3jYkj7h3rgKs5irWBPxjrr,Ramiro Lopez,https://p.scdn.co/mp3-preview/1e0ce6cbe8c7236b6b28349dcc14352df86e0434?cid=142c36ced4ff4aa68d784c0db9923467,0R209a1CmfUkjVx2jXPybc,396324,Being Alone,36,0.000435,0.676,396325,0.553,0.89,1,0.112,-9.861,0,0.0484,127.002,4,0.108
31,2017-11-13,3jYkj7h3rgKs5irWBPxjrr,Ramiro Lopez,https://p.scdn.co/mp3-preview/c649fb38bd905c617940414df76b369e487e9d25?cid=142c36ced4ff4aa68d784c0db9923467,7IdS58otzc2IVz4JwATmns,379740,Dark Science,23,0.00161,0.676,379741,0.653,0.933,4,0.111,-9.525,0,0.0549,127.006,4,0.0355
32,2017-11-13,3jYkj7h3rgKs5irWBPxjrr,Ramiro Lopez,https://p.scdn.co/mp3-preview/f608a590938d439ab463807c35a60f93781aef40?cid=142c36ced4ff4aa68d784c0db9923467,4QhCokC5zIDzoFs2e4GMvo,425757,Der Raum,26,0.00195,0.704,425757,0.669,0.91,11,0.112,-10.195,0,0.0542,126.995,4,0.0368
33,2017-10-23,7mC3RkNNTV6p2j9w4F8Ip4,Layton Giordani,https://p.scdn.co/mp3-preview/ee1d3036490cd2cddc9c5e4b1ac6e07c92f40751?cid=142c36ced4ff4aa68d784c0db9923467,1ByvgOLTyARMUlznO0iSVv,504374,Live Again,44,0.00225,0.761,504375,0.734,0.863,0,0.338,-8.549,1,0.0534,127.998,4,0.196
34,2017-10-23,7mC3RkNNTV6p2j9w4F8Ip4,Layton Giordani,https://p.scdn.co/mp3-preview/1c78bcb1d5f7422d2bbb34e5397f2cef5ed7e8cf?cid=142c36ced4ff4aa68d784c0db9923467,7qGDgVWvTY4CNBqlKdTM5e,414540,Secrets of Vibration,32,0.000128,0.78,414541,0.877,0.571,4,0.112,-9.098,1,0.065,126.009,4,0.196
35,2017-10-23,7mC3RkNNTV6p2j9w4F8Ip4,Layton Giordani,https://p.scdn.co/mp3-preview/79c04be20bdecbeb6f77b4b81192b18017c201e6?cid=142c36ced4ff4aa68d784c0db9923467,7mPfqIO1h3vL269L8iDrv7,395143,Take It Back,38,0.031,0.659,395144,0.816,0.854,4,0.0673,-7.989,0,0.0413,128.021,4,0.0397
36,2017-10-02,3C046bLxNmvBQyaucinAhf,Julian Jeweil,https://p.scdn.co/mp3-preview/32c0c2c7c43459b1aaf0dba2c93ce754dc104d4e?cid=142c36ced4ff4aa68d784c0db9923467,0Dxpx152ZrnjJds8MRZwnu,437120,Space,33,0.000728,0.619,437120,0.782,0.927,7,0.692,-8.004,1,0.0534,124.996,4,0.0518
37,2017-10-02,3C046bLxNmvBQyaucinAhf,Julian Jeweil,https://p.scdn.co/mp3-preview/29020ac2415dc49243468ca913ae975f12cf8532?cid=142c36ced4ff4aa68d784c0db9923467,4w765MV0uUcdxoGGPP2S51,406480,South,37,0.0051,0.715,406480,0.911,0.92,7,0.11,-7.295,1,0.0512,124.989,4,0.174
38,2017-10-02,3C046bLxNmvBQyaucinAhf,Julian Jeweil,https://p.scdn.co/mp3-preview/6643b9ed735dfaa24ee6d8da3b2245e2e843310a?cid=142c36ced4ff4aa68d784c0db9923467,1LC67XSkBPJSydoABdEZ2L,375790,Answer,24,0.000614,0.64,375790,0.918,0.908,10,0.267,-8.076,0,0.0569,126.022,4,0.126
39,2017-10-02,3C046bLxNmvBQyaucinAhf,Julian Jeweil,https://p.scdn.co/mp3-preview/78efeea65f0d8bfad7b8b7ae3d4c9c48f39da65b?cid=142c36ced4ff4aa68d784c0db9923467,6OBGEA6DGs3fgFxV1ZPHwk,388311,Encke,32,0.0131,0.742,388311,0.857,0.895,9,0.12,-8.2,1,0.052,125.996,4,0.294
40,2017-10-02,3C046bLxNmvBQyaucinAhf,Julian Jeweil,https://p.scdn.co/mp3-preview/78d6b82315a636ec63eb76d5ed4232f06ac20c9c?cid=142c36ced4ff4aa68d784c0db9923467,5R61tlAgS0Rvw47T5QI8y9,388331,Module,32,0.0196,0.772,388331,0.943,0.521,11,0.0929,-6.964,1,0.0516,126.009,4,0.278
41,2017-09-11,5Ho1vKl1Uz8bJlk4vbmvmf,Amelie Lens,https://p.scdn.co/mp3-preview/1b1035a4c253642a9dc4f7558032d4ef501fb8a2?cid=142c36ced4ff4aa68d784c0db9923467,2vfSCFvMbpf4hwxt22Wx7b,393740,In Silence,50,0.00548,0.736,393740,0.845,0.901,1,0.111,-12.017,1,0.0377,128.009,4,0.198
42,2017-09-11,2UzAShzs3DO53bSZqvf8Ri,Wehbba,https://p.scdn.co/mp3-preview/c2b68f79e6e5f4028229c2a4ef244c8609e8faaa?cid=142c36ced4ff4aa68d784c0db9923467,7wcezlPS0mPgBW7XiXu2WO,438890,Fake,32,0.000406,0.718,438891,0.707,0.89,9,0.0867,-7.757,1,0.172,124.983,4,0.0395
43,2017-09-11,1btv9qmIpbp7q1ixCYNdHu,Adam Beyer,https://p.scdn.co/mp3-preview/05a4b08c890937098d5acbc52081abf15ff694b5?cid=142c36ced4ff4aa68d784c0db9923467,4gwuQ4JIMhJc4vyg8pyeDS,495360,Preset Heaven,39,4.19e-05,0.802,495360,0.931,0.864,2,0.106,-5.807,1,0.0624,124.995,4,0.0398
44,2017-09-11,5L56gAwU2WofuHHOpLC0BU,Tiger Stripes,https://p.scdn.co/mp3-preview/484807a982b11fd491d595298aed7b7753864a4e?cid=142c36ced4ff4aa68d784c0db9923467,6sUMNmJa0w67wyFbQlfpvh,365771,Destroyer,20,0.000125,0.779,365771,0.95,0.633,8,0.0843,-7.002,0,0.0426,126.004,4,0.226
45,2017-09-11,5I5v7656CcUbq2kkTvZUNi,Mars Bill,https://p.scdn.co/mp3-preview/290f16e54d0df60a310b21706950503ba5dd7686?cid=142c36ced4ff4aa68d784c0db9923467,5613MQVIqNMtsONeJxjfI8,425625,Mohave,19,0.00666,0.664,425625,0.955,0.855,1,0.277,-6.709,1,0.0376,127.991,4,0.107
46,2017-09-11,5AxF4IQxIz8vimGfnSlPaf,Pig,https://p.scdn.co/mp3-preview/dfbb2cf9aad182af13e9f56888acc05adedb9420?cid=142c36ced4ff4aa68d784c0db9923467,0fgGqL1mscAG2jjnXu6vlJ,395443,La Bruja,24,0.0408,0.616,395444,0.681,0.924,11,0.103,-8.295,0,0.192,247.883,4,0.267
47,2017-09-11,4gF60Mys5KoWdQrf0bhRWq,Luca Agnelli,https://p.scdn.co/mp3-preview/b5a4a2c55dd100c0cc147d07c70861592768b63f?cid=142c36ced4ff4aa68d784c0db9923467,02yiF0wA7B3HDeg7xWyIMs,456963,Hypericum,32,0.308,0.7,456963,0.878,0.903,11,0.111,-8.554,0,0.0615,127.003,4,0.347
48,2017-09-11,16LyZ7r3rzPJqljgvz0fvq,Luigi Madonna,https://p.scdn.co/mp3-preview/44acc622867723a11a8ca9c36db74f787a1d89b6?cid=142c36ced4ff4aa68d784c0db9923467,6XkDlhSoIOsa5HU8mUwvta,407039,Limitless,27,0.000451,0.809,407040,0.848,0.918,9,0.0775,-4.836,1,0.0721,124.995,4,0.838
49,2017-09-11,32LzV8uY2Zf8Nda9Rvjx5U,Timmo,https://p.scdn.co/mp3-preview/a75fdb8a4a02f3a37f69ef0fa9b453038b9582c1?cid=142c36ced4ff4aa68d784c0db9923467,1PTGQ7niOlYF8RhPf5F9ML,365731,Muzik,20,0.0561,0.701,365732,0.739,0.894,7,0.112,-11.008,1,0.0982,125.999,4,0.162
50,2017-09-11,5VL3jFaGca1I18S1a9N6cs,Arjun Vagale,https://p.scdn.co/mp3-preview/928e006a7bd291a258970bc8a9c092f434b30df4?cid=142c36ced4ff4aa68d784c0db9923467,4vfrFlSaH3uMytcqcLrSG6,356729,Liquid,19,8.83e-05,0.621,356729,0.739,0.896,9,0.118,-9.658,1,0.049,129.986,3,0.0365
51,2017-09-11,3C046bLxNmvBQyaucinAhf,Julian Jeweil,https://p.scdn.co/mp3-preview/9cad669023daf42c3fbca109fa6879a54028810b?cid=142c36ced4ff4aa68d784c0db9923467,3iPnbnTvP159YGOX1WY4PG,372700,Nasa,26,0.000533,0.774,372701,0.976,0.963,1,0.0657,-8.531,1,0.0516,125.986,4,0.104
52,2017-09-11,4flLxkUh4C2UabnIcvcCEp,Dense,https://p.scdn.co/mp3-preview/464ca8a57cdf4ddc9e0fa277867bbf982d317832?cid=142c36ced4ff4aa68d784c0db9923467,7tuGuVK9daGQOuXBOAraW0,468448,Just a Beat,21,0.000952,0.782,468449,0.89,0.889,7,0.312,-6.892,1,0.139,125.012,4,0.333
53,2017-09-11,22HcjzDlePLqK05zIlyn3L,Vinicius Honorio,https://p.scdn.co/mp3-preview/e0d2614e00f15d95608a788461345c4dc5d12ff1?cid=142c36ced4ff4aa68d784c0db9923467,647cOdyFEo2yQHMZrGF7B1,440839,Diamond Dust,18,0.00273,0.71,440840,0.858,0.848,1,0.433,-7.975,0,0.043,124.977,4,0.0471
54,2017-09-11,6mP9zMUpvIMUMxkHfB5GUB,Ambivalent,https://p.scdn.co/mp3-preview/85aaa877ec31f6e37d381fd456a0b2de9966da91?cid=142c36ced4ff4aa68d784c0db9923467,4uvBTEH0uFX1h0wyFNoWq4,403214,Portmanteau,17,5.94e-05,0.714,403214,0.953,0.872,10,0.127,-9.39,0,0.0425,129.989,4,0.101
55,2017-09-11,2jop7P9uKGHVtQAv59lDxT,Spektre,https://p.scdn.co/mp3-preview/f2ec962dc6364a7c2a4fcd9bfebeecce6eb2c3e0?cid=142c36ced4ff4aa68d784c0db9923467,0JjIIsbzhhLHMla2Z7hnd4,437080,Nasqueron,27,0.00023,0.735,437080,0.829,0.725,9,0.123,-6.7,1,0.037,124.965,4,0.0807
56,2017-09-11,00IUMN7pWAU2jYWcdOt5c3,Marco Faraone,https://p.scdn.co/mp3-preview/6a3fd06364c0e8322f48dab8d7ce1f9aa70a545b?cid=142c36ced4ff4aa68d784c0db9923467,0WaHuO6ZNiRJDqTrgimlcL,367896,Desert Crash,21,0.123,0.788,367896,0.79,0.929,7,0.111,-11.049,1,0.0503,128.01,4,0.0386
57,2017-08-21,3tlt5onLwIKTuaOAyI6ytC,Dense & Pika,https://p.scdn.co/mp3-preview/f354175086ba82a1107c5b2114d2d1ae85fa0e2f?cid=142c36ced4ff4aa68d784c0db9923467,2M3fQlTwnM4MFas5Hs01oj,464018,Suki,28,0.0734,0.826,464019,0.723,0.914,0,0.111,-9.159,0,0.164,124.993,4,0.262
58,2017-08-21,3tlt5onLwIKTuaOAyI6ytC,Dense & Pika,https://p.scdn.co/mp3-preview/212f6f42381d923ef8c79490692fd0b54fc30202?cid=142c36ced4ff4aa68d784c0db9923467,5S2XVE3PXYKrfVwYVwDLg6,417642,Little Sun,35,0.00934,0.877,417642,0.694,0.893,7,0.111,-9.721,1,0.0546,125.001,4,0.0909
