,album_date,artist_id,artist_name,mp3,track_id,track_length,track_name,track_pop,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,2019-03-01,12tZvy2xFpWSkuJ3FsfisZ,Weval,https://p.scdn.co/mp3-preview/0b582e7fb90ac7a7ef13e97b272282078eb6ab11?cid=142c36ced4ff4aa68d784c0db9923467,7KD3tcik1xG3zDLpcy1dvP,286342,The Weight,50,0.215,0.699,286342,0.476,0.611,9,0.218,-11.095,0,0.0395,96.019,4,0.457
1,2019-02-22,2polW59xyLfTDB4E5Ig7Xa,Clarian,https://p.scdn.co/mp3-preview/fde9923742319c3c488fe7b7d2ba7ccc4bab0391?cid=142c36ced4ff4aa68d784c0db9923467,4yhtk3kEfdWT74t4SnGHki,360000,Time Safari,25,0.000901,0.79,360000,0.809,0.873,10,0.0961,-8.227,0,0.044,120.001,4,0.0595
2,2019-02-15,6gp9WP1OleU89x2gF9w2ID,Raxon,https://p.scdn.co/mp3-preview/a0b96daf70a3308067abe0e0c08744804d710725?cid=142c36ced4ff4aa68d784c0db9923467,4uZsc28VlC262wgyqQ2IhQ,375444,Dark Light,24,4.91e-05,0.778,375445,0.856,0.913,11,0.112,-11.12,0,0.0536,123.002,4,0.247
3,2019-03-15,5LgCEWiYwoz9BAbGcJPCTC,Shayde,https://p.scdn.co/mp3-preview/b07aa7159535708168ab0a79e297cfff623838c8?cid=142c36ced4ff4aa68d784c0db9923467,2OIemAS9SWF34fQwDmlFHu,519950,Obergeschoss - Justus Köhncke Club Vocal Version,9,0.0534,0.896,519950,0.675,0.764,5,0.101,-9.153,0,0.0473,123.002,4,0.881
4,2019-02-22,7kys4gLjcpMWi3EoxlRwU3,Hill Of Vision,https://p.scdn.co/mp3-preview/1b525cef413ca6717da252273e2590d10fa250cc?cid=142c36ced4ff4aa68d784c0db9923467,2mRIj1kE84MMPoC90nVh4Z,451021,Evolution,9,0.00744,0.777,451021,0.529,0.932,1,0.105,-14.323,0,0.0499,119.999,3,0.0283
5,2019-03-01,4BXQFnkDCnhWCqpACjiH9c,MOXAL,https://p.scdn.co/mp3-preview/882f8d253b069b8f01352567bdd2e2b00c29f52e?cid=142c36ced4ff4aa68d784c0db9923467,1WnYgq0yvR46FLKOwPuXGP,271414,Azalgorri,11,0.187,0.58,271415,0.822,0.405,1,0.0871,-11.417,1,0.0385,120.021,4,0.612
6,2019-03-01,27Ftv0EFLndpb5tWIJFydw,Roberto Clementi,https://p.scdn.co/mp3-preview/edcdf0952f8bdcc1534a80a8dd12e55b663f5dbe?cid=142c36ced4ff4aa68d784c0db9923467,51UnP5KH5thmC0HrOFECFf,332950,Plebiscite - BNJMN Remix,9,0.0162,0.629,332951,0.687,0.893,2,0.264,-11.289,0,0.0793,129.989,4,0.0721
7,2019-02-15,0LcfO0mJkpr6yOmjci0z9n,Jascha Hagen,https://p.scdn.co/mp3-preview/260c6899bd4b7d773c1f8c58d089a37ef813813d?cid=142c36ced4ff4aa68d784c0db9923467,5ns6VBK0rnW96DRMog78Jx,450051,Moon Prayer,26,0.126,0.551,450052,0.546,0.92,7,0.18,-15.061,1,0.0312,103.976,4,0.0391
8,2019-02-22,5eF6YOSwkaoA4qUp3J6SYc,Davis,https://p.scdn.co/mp3-preview/0878c20077162d73521ecf81f746b1f57d461f79?cid=142c36ced4ff4aa68d784c0db9923467,6DDVqAIQLK3xk91uox61s6,365070,Ordinary Sleep,16,0.00173,0.79,365070,0.786,0.886,7,0.086,-10.418,1,0.0638,107.999,4,0.127
9,2019-03-01,0y3YJU1gNAM2vukLw1ifO4,Osborne,https://p.scdn.co/mp3-preview/0e8379ca016ccd847facbacc06cba63eb60b50c5?cid=142c36ced4ff4aa68d784c0db9923467,6EPhHsd5BHSrp9MJXOJkZp,355247,Different,17,0.238,0.805,355247,0.53,0.935,4,0.0668,-14.126,1,0.0425,121.99,4,0.072
