,album_date,artist_id,artist_name,mp3,track_id,track_length,track_name,track_pop,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,2018-01-05,2sQ27eguOvdxKY8QSChsXS,Raw M.T.,https://p.scdn.co/mp3-preview/4e93385cc62ea5a10cbfee277733d18f17ce15d8?cid=142c36ced4ff4aa68d784c0db9923467,6SaMNK0rXZGPV1OaQNH20W,242169,Besakih's Dragons' Clouds,3,0.906,0.3,242170,0.577,0.918,0,0.0911,-12.367,1,0.0429,124.11,4,0.126
1,2018-01-05,2sQ27eguOvdxKY8QSChsXS,Raw M.T.,https://p.scdn.co/mp3-preview/42dca7a695fd82c2bae446d996238a7ea04c77c2?cid=142c36ced4ff4aa68d784c0db9923467,2fPQ1tsNHyBTnXLGLuVOgj,412642,Banjar Hot Springs,3,0.335,0.704,412642,0.623,0.908,1,0.0752,-13.093,1,0.0915,113.948,4,0.341
2,2018-01-05,2sQ27eguOvdxKY8QSChsXS,Raw M.T.,https://p.scdn.co/mp3-preview/e7d6086adc058ac7d21c2a40a073cea151602181?cid=142c36ced4ff4aa68d784c0db9923467,0UDfdPqSTRoQmJvomKqNXm,411346,Uluwatu's God,6,0.906,0.66,411346,0.574,0.885,9,0.15,-13.381,0,0.0442,113.011,4,0.145
3,2018-01-05,2sQ27eguOvdxKY8QSChsXS,Raw M.T.,https://p.scdn.co/mp3-preview/671a8adff263cede5a22ba3fd4dc54f125af764a?cid=142c36ced4ff4aa68d784c0db9923467,1K4BUEgafLt8DS737cVZ8o,336502,Broken Sea,5,0.000786,0.757,336503,0.864,0.874,7,0.0958,-8.113,0,0.0527,120.007,4,0.142
4,2018-01-12,1SYJDHr7kjUL4LlfK1jJ9m,Sweely,https://p.scdn.co/mp3-preview/99687aa79502b33e30d7628cbb3e89c760e4a157?cid=142c36ced4ff4aa68d784c0db9923467,4PxQ0zYObygXA97NDywbCd,382210,Stronger Than Me,31,0.0058,0.777,382210,0.874,0.876,1,0.0282,-6.393,1,0.079,128.038,4,0.505
5,2018-01-12,1SYJDHr7kjUL4LlfK1jJ9m,Sweely,https://p.scdn.co/mp3-preview/d0b62f96643cd6e473b1c2d144bd2e355542c641?cid=142c36ced4ff4aa68d784c0db9923467,2sLcXoMy45kU8qiQDetkeR,358790,You Don't Really Want Me,23,0.194,0.761,358790,0.966,0.8,10,0.0563,-6.635,0,0.0915,122.988,4,0.533
6,2018-01-12,1SYJDHr7kjUL4LlfK1jJ9m,Sweely,https://p.scdn.co/mp3-preview/9a05b32e19dea63afa0be61d7dda30cdef05ad44?cid=142c36ced4ff4aa68d784c0db9923467,6KolCEaM2dcISFmJA2zrdr,231378,Raw Thoughts,16,0.0568,0.781,231379,0.889,0.955,4,0.0919,-6.652,0,0.08,124.988,4,0.461
7,2018-01-12,1SYJDHr7kjUL4LlfK1jJ9m,Sweely,https://p.scdn.co/mp3-preview/a9d7f9fc9924f131de5d2f6878078c1637042356?cid=142c36ced4ff4aa68d784c0db9923467,1RdjBtEnPcNvzntcuudlnE,284792,Acid City,16,0.0133,0.847,284793,0.97,0.466,6,0.0486,-6.803,1,0.194,129.985,4,0.357
8,2018-01-12,1SYJDHr7kjUL4LlfK1jJ9m,Sweely,https://p.scdn.co/mp3-preview/e8cf68062aa8eec970fa021ecf3322b02fdcc236?cid=142c36ced4ff4aa68d784c0db9923467,4JObIY3BrVfUV6671lGTrG,126631,You Do,13,0.00263,0.71,126632,0.902,0.765,9,0.091,-6.247,1,0.0464,124.972,4,0.655
9,2018-01-19,1dOXNoHa9mhmXRPnhJ6D7U,Dj Kush Boogie,https://p.scdn.co/mp3-preview/a009084982984e400e526dbf3019ad0f17070c59?cid=142c36ced4ff4aa68d784c0db9923467,3fqLN3JOPcujBn1AGCvsx1,522239,The Spot,10,0.00639,0.804,522239,0.878,0.242,8,0.0438,-6.338,0,0.076,125.001,4,0.948
