,album_date,artist_id,artist_name,mp3,track_id,track_length,track_name,track_pop,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,2007-05-29,2X0JVBEAbRBK5cEI4B9BzI,Nsi.,https://p.scdn.co/mp3-preview/a91fa818e292a8b317348ada10f97eb23aa9214a?cid=142c36ced4ff4aa68d784c0db9923467,740dCWaptbIWeZWCDXmfpr,867520,Bridge And Tunnel People,1,0.0803,0.473,867520,0.445,0.906,2,0.068,-13.136,1,0.0501,121.956,4,0.118
1,2007-05-29,71PtLENUznKmVtOe7iAaa8,Sleeparchive,https://p.scdn.co/mp3-preview/4ecd521a609d51e0db22eae2585882f8857bdd7a?cid=142c36ced4ff4aa68d784c0db9923467,75PlhJLFuNicILlqz6DsEZ,460973,Perspective,0,0.0652,0.795,460973,0.368,0.824,5,0.123,-19.723,1,0.0592,111.998,4,0.0561
2,2007-05-29,5muFO8VqYRCRW13EkvX564,Âme,https://p.scdn.co/mp3-preview/72e73fe3a034cc61a24f22f5aea8e8bf0a69478c?cid=142c36ced4ff4aa68d784c0db9923467,2RPr9qFo5Lr8iSysJ2IlWN,1002320,Fiori - Vinyl Version,0,0.000239,0.434,1002320,0.864,0.899,1,0.689,-10.2,1,0.0408,186.005,3,0.0628
3,2007-05-29,2BaRBezXLTKFXliJYqaxBC,The 7th Plain,https://p.scdn.co/mp3-preview/7a39128cf9ad392a36203bbed4caa9b3d43827cd?cid=142c36ced4ff4aa68d784c0db9923467,2mwQ1HcvlfWpbeiy6apRGi,782600,Symphony For The Surrealists,1,0.168,0.365,782600,0.659,0.899,2,0.198,-10.751,0,0.0522,127.051,4,0.0489
4,2008-01-28,4wFHE4uuRMt3OlUPBf1fYq,Prosumer,https://p.scdn.co/mp3-preview/b8e3dc0313826616ac924c18abb27fa32b2f4a43?cid=142c36ced4ff4aa68d784c0db9923467,2PO9RX0XbvSrMZHxcopjhs,249400,Serenity,12,0.402,0.737,249400,0.256,0.722,0,0.196,-17.138,1,0.0855,103.999,4,0.337
5,2008-01-28,4wFHE4uuRMt3OlUPBf1fYq,Prosumer,https://p.scdn.co/mp3-preview/7ce4de9b9c3216c1bb8c3f9a6284748d7b979e8b?cid=142c36ced4ff4aa68d784c0db9923467,6JMmzsVlNTTcL02uibowbT,322093,I Go Mad,3,0.00194,0.545,322093,0.243,0.389,4,0.111,-16.953,0,0.178,112.007,4,0.666
6,2008-01-28,4wFHE4uuRMt3OlUPBf1fYq,Prosumer,https://p.scdn.co/mp3-preview/26cf7654eb0977a9153b1ab3784547bb4541cc57?cid=142c36ced4ff4aa68d784c0db9923467,3ZM5I8d3vBAqziLyOewZV4,54106,Drama Baby (feat. Elif Biçer),3,0.594,0.614,54107,0.238,0.664,1,0.0807,-16.648,1,0.213,116.765,4,0.078
7,2008-01-28,4wFHE4uuRMt3OlUPBf1fYq,Prosumer,https://p.scdn.co/mp3-preview/d93e474b0296d4a16015869602b2fff6db38b888?cid=142c36ced4ff4aa68d784c0db9923467,6B1o444AWQ2XQV6hgcy6V4,238693,Lov (feat. Elif Biçer),8,0.0357,0.884,238693,0.282,0.401,11,0.0498,-14.541,0,0.336,119.986,4,0.315
8,2008-01-28,4wFHE4uuRMt3OlUPBf1fYq,Prosumer,https://p.scdn.co/mp3-preview/39455199ffc0e6be1eb11f9a898ba62cc1b18b61?cid=142c36ced4ff4aa68d784c0db9923467,14q3WcjtdoGQOkllS1mk9W,286000,Turn Around (feat. Elif Biçer),3,0.000149,0.802,286000,0.465,0.142,7,0.0811,-13.273,1,0.0684,123.034,4,0.502
9,2008-01-28,4wFHE4uuRMt3OlUPBf1fYq,Prosumer,https://p.scdn.co/mp3-preview/0c5476804350174c041d8e5549e0638e49532c19?cid=142c36ced4ff4aa68d784c0db9923467,09EHMqYTHVYQczqkdd4W2z,222666,The Craze - Live mix,4,0.0426,0.637,222667,0.565,0.546,3,0.0762,-13.093,1,0.105,125.89,4,0.566
10,2008-01-28,4wFHE4uuRMt3OlUPBf1fYq,Prosumer,https://p.scdn.co/mp3-preview/73a4f16659ff7fa33b571ae215e8bc03849e3452?cid=142c36ced4ff4aa68d784c0db9923467,3aVRi6e50hZxb4eTafdrJx,317493,Go Silla,3,0.0459,0.799,317493,0.547,0.782,0,0.0637,-12.608,0,0.186,126.967,4,0.502
11,2008-01-28,4wFHE4uuRMt3OlUPBf1fYq,Prosumer,https://p.scdn.co/mp3-preview/9c97c5121b3f0a1dc03b4d07a736f63dffdc56f9?cid=142c36ced4ff4aa68d784c0db9923467,69wUpuWmk5T32QYpCHcmtV,296666,Makes Me Wanna Dance,5,0.00324,0.799,296667,0.537,0.848,9,0.0882,-12.898,1,0.0825,126.997,4,0.699
